Nr	ID	Orig	Pair	Site	Bed	Soil	Alt	LL09a	BMtL10mg	BMS10mg	H10f	tBB10d	tSB10d	dB10d
148	ID148	O1800m	Bex	Boef	bed06	sol	600m	1.3	263.1	3143.2	18	138	162	24
149	ID149	O1200m	Hasl	Boef	bed06	sol	600m	1	312.7	236.1	2	154	176	22
150	ID150	O1800m	Hein	Boef	bed06	sol	600m	0.6	176.7	0	0	NA	NA	0
151	ID151	O1200m	Sach	Boef	bed06	sol	600m	0.5	90.3	0	0	NA	NA	0
152	ID152	O1800m	Flue	Boef	bed06	sol	600m	0.5	207.4	0	0	NA	NA	0
153	ID153	O1200m	Frut	Boef	bed06	sol	600m	1.1	309.7	193	2	138	154	16
154	ID154	O1800m	Reic	Boef	bed06	sol	600m	0.7	283.4	272.7	2	146	170	24
155	ID155	O1200m	Brie	Boef	bed06	sol	600m	1.6	536.5	1301.3	8	138	170	32
156	ID156	O1800m	Chat	Boef	bed06	sol	600m	0.6	NA	NA	NA	NA	NA	NA
157	ID157	O1200m	Vatt	Boef	bed06	sol	600m	0.5	69.1	0	0	NA	NA	0
158	ID158	O1800m	Sach	Boef	bed06	sol	600m	1.1	486.9	0	0	NA	NA	0
159	ID159	O1200m	Lumn	Boef	bed06	sol	600m	0.4	NA	NA	NA	NA	NA	NA
160	ID160	O1800m	Frut	Boef	bed06	sol	600m	0.9	84.7	0	0	NA	NA	0
161	ID161	O1200m	Reic	Boef	bed06	sol	600m	0.5	192.4	0	0	NA	NA	0
162	ID162	O1800m	Brie	Boef	bed06	sol	600m	1.9	830.4	3527.3	12	138	170	32
163	ID163	O1200m	Lenk	Boef	bed06	sol	600m	0.4	570.8	0	0	NA	NA	0
164	ID164	O1800m	Lenk	Boef	bed06	sol	600m	0.5	636.3	0	0	NA	NA	0
165	ID165	O1200m	Ober	Boef	bed06	sol	600m	1.5	1754.1	6049.8	17	138	162	24
166	ID166	O1800m	Lumn	Boef	bed06	sol	600m	0.4	680.3	0	0	NA	NA	0
167	ID167	O1200m	Hein	Boef	bed06	sol	600m	0.6	229.9	133.5	2	138	146	8
168	ID168	O1800m	Vatt	Boef	bed06	sol	600m	0.7	1119	764.5	4	138	162	24
169	ID169	O1200m	Lumn	Boef	bed07	gra	600m	0.3	NA	NA	NA	NA	NA	NA
170	ID170	O1800m	Ober	Boef	bed07	gra	600m	1.4	113.3	194.8	2	146	162	16
171	ID171	O1200m	Luts	Boef	bed07	gra	600m	0.5	89	0	0	NA	NA	0
172	ID172	O1800m	Hein	Boef	bed07	gra	600m	0.5	98.5	0	0	NA	NA	0
173	ID173	O1200m	Chat	Boef	bed07	gra	600m	0.9	208.4	1162.3	5	162	184	22
174	ID174	O1800m	Luts	Boef	bed07	gra	600m	0.5	NA	NA	NA	NA	NA	NA
175	ID175	O1200m	Sach	Boef	bed07	gra	600m	0.6	198.7	455.7	4	154	162	8
176	ID176	O1800m	Flue	Boef	bed07	gra	600m	1.2	1220.4	97.7	2	192	NA	NA
177	ID177	O1200m	Flue	Boef	bed07	gra	600m	1.1	NA	NA	NA	NA	NA	NA
178	ID178	O1800m	Sach	Boef	bed07	gra	600m	0.5	22.1	0	0	NA	NA	0
179	ID179	O1200m	Reic	Boef	bed07	gra	600m	1.6	470.6	709.2	8	138	162	24
180	ID180	O1800m	Bex	Boef	bed07	gra	600m	1.7	354.6	1150	17	138	146	8
181	ID181	O1200m	Bex	Boef	bed07	gra	600m	1	177	279.9	4	138	162	24
182	ID182	O1800m	Hasl	Boef	bed07	gra	600m	0.8	123	0	0	NA	NA	0
183	ID183	O1200m	Brie	Boef	bed07	gra	600m	1.2	325.2	1054.9	5	162	192	30
184	ID184	O1800m	Reic	Boef	bed07	gra	600m	0.7	401.4	0	0	NA	NA	0
185	ID185	O1200m	Vatt	Boef	bed07	gra	600m	0.7	82.8	0	0	NA	NA	0
186	ID186	O1800m	Lenk	Boef	bed07	gra	600m	0.9	530.3	236.3	2	146	162	16
187	ID187	O1200m	Hein	Boef	bed07	gra	600m	0.6	43.7	0	0	NA	NA	0
188	ID188	O1800m	Chat	Boef	bed07	gra	600m	1.1	188.1	144.6	2	154	170	16
189	ID189	O1200m	Hasl	Boef	bed07	gra	600m	0.8	200.7	0	0	NA	NA	0
190	ID190	O1800m	Brie	Boef	bed07	gra	600m	1.1	250.3	2748.2	13	146	176	30
191	ID191	O1200m	Frut	Boef	bed07	gra	600m	1.9	496.8	0	0	NA	NA	0
192	ID192	O1800m	Lumn	Boef	bed07	gra	600m	0.6	369.4	0	0	NA	NA	0
193	ID193	O1200m	Lenk	Boef	bed07	gra	600m	0.8	742.1	87.1	1	NA	NA	NA
194	ID194	O1800m	Frut	Boef	bed07	gra	600m	0.8	91.3	56.6	2	154	176	22
195	ID195	O1200m	Ober	Boef	bed07	gra	600m	1.3	278.1	1518.3	15	138	162	24
196	ID196	O1800m	Vatt	Boef	bed07	gra	600m	0.5	77.3	0	0	NA	NA	0
197	ID197	O1200m	Flue	Boef	bed08	gra	600m	1.1	133.9	2073.5	11	146	170	24
198	ID198	O1800m	Ober	Boef	bed08	gra	600m	1.5	2868.6	1704.9	7	138	170	32
199	ID199	O1200m	Chat	Boef	bed08	gra	600m	1.9	484.8	0	0	NA	NA	0
200	ID200	O1800m	Luts	Boef	bed08	gra	600m	0.7	140.7	0	0	NA	NA	0
201	ID201	O1200m	Luts	Boef	bed08	gra	600m	0.6	74.6	0	0	NA	NA	0
202	ID202	O1800m	Hasl	Boef	bed08	gra	600m	1.7	386	1735	10	146	170	24
203	ID203	O1200m	Bex	Boef	bed08	gra	600m	1.2	419.4	1607.8	12	138	146	8
204	ID204	O1800m	Bex	Boef	bed08	gra	600m	1.3	228.8	1324.2	7	146	170	24
205	ID205	O1200m	Hasl	Boef	bed08	gra	600m	1.1	9.3	0	0	NA	NA	0
206	ID206	O1800m	Hein	Boef	bed08	gra	600m	0.9	50.8	0	0	NA	NA	0
207	ID207	O1200m	Sach	Boef	bed08	gra	600m	0.5	NA	NA	NA	NA	NA	NA
208	ID208	O1800m	Flue	Boef	bed08	gra	600m	0.5	40.5	0	0	NA	NA	0
209	ID209	O1200m	Frut	Boef	bed08	gra	600m	1.3	168.8	481.5	5	138	162	24
210	ID210	O1800m	Reic	Boef	bed08	gra	600m	0.8	NA	NA	NA	NA	NA	NA
211	ID211	O1200m	Brie	Boef	bed08	gra	600m	1.5	182.9	1580.9	7	162	192	30
212	ID212	O1800m	Chat	Boef	bed08	gra	600m	0.7	NA	NA	NA	NA	NA	NA
213	ID213	O1200m	Vatt	Boef	bed08	gra	600m	0.4	300.2	0	0	NA	NA	0
214	ID214	O1800m	Sach	Boef	bed08	gra	600m	1	270.5	945.5	4	146	170	24
215	ID215	O1200m	Lumn	Boef	bed08	gra	600m	0.3	50.6	0	0	NA	NA	0
216	ID216	O1800m	Frut	Boef	bed08	gra	600m	0.8	504.5	0	0	NA	NA	0
217	ID217	O1200m	Reic	Boef	bed08	gra	600m	0.6	268.2	0	0	NA	NA	0
218	ID218	O1800m	Brie	Boef	bed08	gra	600m	1.5	50.6	875.6	6	138	162	24
219	ID219	O1200m	Lenk	Boef	bed08	gra	600m	0.4	68.3	0	0	NA	NA	0
220	ID220	O1800m	Lenk	Boef	bed08	gra	600m	0.5	138.9	0	0	NA	NA	0
221	ID221	O1200m	Ober	Boef	bed08	gra	600m	1.1	612.9	440.3	3	138	162	24
222	ID222	O1800m	Lumn	Boef	bed08	gra	600m	0.3	32.6	0	0	NA	NA	0
223	ID223	O1200m	Hein	Boef	bed08	gra	600m	0.6	18.4	66.1	1	154	162	8
224	ID224	O1800m	Vatt	Boef	bed08	gra	600m	0.5	538.4	0	0	NA	NA	0
225	ID225	O1200m	Chat	Eich	bed09	sol	600m	0.7	131.7	0	0	NA	NA	0
226	ID226	O1800m	Flue	Eich	bed09	sol	600m	1	271.7	347.4	3	154	184	30
227	ID227	O1200m	Flue	Eich	bed09	sol	600m	1.8	619.4	986.2	9	138	146	8
228	ID228	O1800m	Hasl	Eich	bed09	sol	600m	0.7	267.3	0	0	NA	NA	0
229	ID229	O1200m	Luts	Eich	bed09	sol	600m	0.7	NA	NA	NA	NA	NA	NA
230	ID230	O1800m	Reic	Eich	bed09	sol	600m	0.3	NA	NA	NA	NA	NA	NA
231	ID231	O1200m	Bex	Eich	bed09	sol	600m	1.1	617.4	0	0	NA	NA	0
232	ID232	O1800m	Ober	Eich	bed09	sol	600m	1.1	153.3	0	0	NA	NA	0
233	ID233	O1200m	Frut	Eich	bed09	sol	600m	1.7	906.9	997.3	8	138	170	32
234	ID234	O1800m	Luts	Eich	bed09	sol	600m	0.6	NA	NA	NA	NA	NA	NA
235	ID235	O1200m	Vatt	Eich	bed09	sol	600m	0.7	NA	NA	NA	NA	NA	NA
236	ID236	O1800m	Chat	Eich	bed09	sol	600m	1.2	200.6	0	0	NA	NA	0
237	ID237	O1200m	Lenk	Eich	bed09	sol	600m	1.2	230.2	0	0	NA	NA	0
238	ID238	O1800m	Bex	Eich	bed09	sol	600m	1.5	403	206	4	138	162	24
239	ID239	O1200m	Ober	Eich	bed09	sol	600m	1.3	298.4	1245.4	11	138	162	24
240	ID240	O1800m	Brie	Eich	bed09	sol	600m	0.9	335	0	0	NA	NA	0
241	ID241	O1200m	Reic	Eich	bed09	sol	600m	0.5	NA	NA	NA	NA	NA	NA
242	ID242	O1800m	Lenk	Eich	bed09	sol	600m	1.6	164.5	0	0	NA	NA	0
243	ID243	O1200m	Lumn	Eich	bed09	sol	600m	0.2	NA	NA	NA	NA	NA	NA
244	ID244	O1800m	Frut	Eich	bed09	sol	600m	1.2	403.5	197.9	2	162	184	22
245	ID245	O1200m	Sach	Eich	bed09	sol	600m	0.5	NA	NA	NA	NA	NA	NA
246	ID246	O1800m	Sach	Eich	bed09	sol	600m	0.8	NA	NA	NA	NA	NA	NA
247	ID247	O1200m	Brie	Eich	bed09	sol	600m	2.1	762.5	2594.7	16	138	170	32
248	ID248	O1800m	Hein	Eich	bed09	sol	600m	0.6	103.7	0	0	NA	NA	0
249	ID249	O1200m	Hein	Eich	bed09	sol	600m	0.5	NA	NA	NA	NA	NA	NA
250	ID250	O1800m	Lumn	Eich	bed09	sol	600m	0.5	NA	NA	NA	NA	NA	NA
251	ID251	O1200m	Hasl	Eich	bed09	sol	600m	0.6	107.9	0	0	NA	NA	0
252	ID252	O1800m	Vatt	Eich	bed09	sol	600m	0.5	NA	NA	NA	NA	NA	NA
253	ID253	O1200m	Chat	Eich	bed10	sol	600m	0.7	134.4	0	0	NA	NA	0
254	ID254	O1800m	Chat	Eich	bed10	sol	600m	0.7	564.5	0	0	NA	NA	0
255	ID255	O1200m	Luts	Eich	bed10	sol	600m	0.8	276.8	201.7	2	162	176	14
256	ID256	O1800m	Luts	Eich	bed10	sol	600m	0.5	NA	NA	NA	NA	NA	NA
257	ID257	O1200m	Bex	Eich	bed10	sol	600m	1.1	369	1259.3	5	138	170	32
258	ID258	O1800m	Bex	Eich	bed10	sol	600m	1	223.9	0	0	NA	NA	0
259	ID259	O1200m	Flue	Eich	bed10	sol	600m	1.4	254	0	0	NA	NA	0
260	ID260	O1800m	Reic	Eich	bed10	sol	600m	0.8	NA	NA	NA	NA	NA	NA
261	ID261	O1200m	Lenk	Eich	bed10	sol	600m	1	116.9	0	0	NA	NA	0
262	ID262	O1800m	Brie	Eich	bed10	sol	600m	1.5	1039.5	736.4	3	154	184	30
263	ID263	O1200m	Hein	Eich	bed10	sol	600m	NA	NA	NA	NA	NA	NA	NA
264	ID264	O1800m	Ober	Eich	bed10	sol	600m	1.4	1040.7	802.4	5	138	170	32
265	ID265	O1200m	Brie	Eich	bed10	sol	600m	1.5	375.2	336.7	1	162	NA	NA
266	ID266	O1800m	Sach	Eich	bed10	sol	600m	0.5	NA	NA	NA	NA	NA	NA
267	ID267	O1200m	Reic	Eich	bed10	sol	600m	0.9	277.5	497.6	4	162	184	22
268	ID268	O1800m	Frut	Eich	bed10	sol	600m	1	57.3	0	0	NA	NA	0
269	ID269	O1200m	Frut	Eich	bed10	sol	600m	1.6	248.7	317.8	4	138	162	24
270	ID270	O1800m	Lenk	Eich	bed10	sol	600m	0.8	NA	NA	NA	NA	NA	NA
271	ID271	O1200m	Vatt	Eich	bed10	sol	600m	NA	NA	NA	NA	NA	NA	NA
272	ID272	O1800m	Hein	Eich	bed10	sol	600m	0.5	NA	NA	NA	NA	NA	NA
273	ID273	O1200m	Ober	Eich	bed10	sol	600m	0.9	177.8	0	0	146	170	0
274	ID274	O1800m	Hasl	Eich	bed10	sol	600m	1.2	184.7	0	0	NA	NA	0
275	ID275	O1200m	Lumn	Eich	bed10	sol	600m	0.4	NA	NA	NA	NA	NA	NA
276	ID276	O1800m	Lumn	Eich	bed10	sol	600m	0.7	183.6	107.8	2	154	170	16
